t,rms,centroid,tempo
0.0,0.20423308645064872,0.0,80.74951171875
0.011609977324263039,0.22550261579327288,0.012685443171385487,86.9610126201923
0.023219954648526078,0.24664918132749153,0.024556211124332133,93.17251352163461
0.034829931972789115,0.267177699031799,0.03641230803794631,99.38401442307693
0.046439909297052155,0.28908215746396926,0.04757386932296121,105.59551532451924
0.058049886621315196,0.3110129064219569,0.05965645246956073,111.80701622596155
0.06965986394557823,0.33245484580892276,0.07176330511332324,118.01851712740385
0.08126984126984127,0.3559312468507348,0.08317950218358687,122.5359723284528
0.09287981859410431,0.37806652265433066,0.0944375093405585,127.05342752950175
0.10448979591836735,0.40134971206538533,0.10585129000489792,131.5708827305507
0.11609977324263039,0.4250968421521304,0.11694517869831053,136.08833793159965
0.12770975056689343,0.4458691140652857,0.1282517219948879,140.6057931326486
0.13931972789115646,0.46888953315258547,0.13980820316740394,145.12324833369757
0.1509297052154195,0.4917634953853134,0.15087843221253827,149.64070353474654
0.16253968253968254,0.5012642916804168,0.15025804901775083,147.94665783435318
0.17414965986394557,0.5100598640775299,0.14999723156061445,146.25261213395981
0.18575963718820862,0.5160080069930021,0.14962950431786484,144.55856643356645
0.19736961451247165,0.5186770218486556,0.14988972742598008,142.8645207331731
0.2089795918367347,0.523836926079159,0.15024256372580344,141.1704750327797
0.22058956916099773,0.5279690107446621,0.1497839736724207,139.47642933238635
0.23219954648526078,0.5302115533213313,0.15074548887369468,137.782383631993
0.2438095238095238,0.5359763565045224,0.1563881839270905,136.08833793159965
0.25541950113378686,0.5376709761869292,0.16229902243598246,134.3942922312063
0.26702947845804986,0.5416294484460356,0.16684101780453986,132.70024653081293
0.2786394557823129,0.5481279792184601,0.170211950687375,131.00620083041954
0.29024943310657597,0.5525448116512137,0.1736015754538834,129.31215513002618
0.301859410430839,0.5616291702099748,0.17641898018806212,127.61810942963282
0.313469387755102,0.5676114129807643,0.17818525599187893,125.92406372923946
0.3250793650793651,0.570982407284494,0.18105472280844218,124.23001802884612
0.33668934240362813,0.5739381192278441,0.1849712929338777,122.53597232845277
0.34829931972789113,0.5734670029325144,0.18980558809501047,120.84192662805941
0.3599092970521542,0.5729453320113783,0.19437807794044493,119.14788092766605
0.37151927437641724,0.5756909775693112,0.2002426959866993,117.45383522727269
0.3831292517006803,0.5770146721720434,0.20684436936151657,117.45383522727269
0.3947392290249433,0.5809201513476284,0.21371348136175874,117.45383522727269
0.40634920634920635,0.5842846278370114,0.2209944629312681,117.45383522727269
0.4179591836734694,0.5851006268691474,0.22790568929184696,117.45383522727269
0.4295691609977324,0.5890000677294818,0.2349410593227447,117.45383522727269
0.44117913832199546,0.5906161941327183,0.24060927636867518,117.45383522727269
0.4527891156462585,0.5937112306827784,0.24672655233696208,117.45383522727269
0.46439909297052157,0.5997032128271683,0.25204567205435907,117.45383522727269
0.47600907029478456,0.6030984447259119,0.2568165271038828,117.45383522727269
0.4876190476190476,0.6079491226398311,0.26199683149231656,117.45383522727269
0.4992290249433107,0.6133974347337006,0.26794794855597825,117.45383522727269
0.5108390022675737,0.6153043496289814,0.2736230842687801,117.45383522727269
0.5224489795918368,0.6178390131750826,0.2810611406760396,117.45383522727269
0.5340589569160997,0.61842741880459,0.2880035317520791,117.45383522727269
0.5456689342403628,0.6166309139976608,0.2921392006770659,117.45383522727269
0.5572789115646258,0.6151083622044616,0.2951069155591721,117.45383522727269
0.5688888888888889,0.6113738449377574,0.29931249448342395,117.45383522727269
0.5804988662131519,0.6060728354481217,0.30373477567905216,117.45383522727269
0.592108843537415,0.6015417641628772,0.3088589095658278,117.45383522727269
0.603718820861678,0.5968111296910095,0.3148261879489488,117.45383522727269
0.615328798185941,0.5946564944787793,0.3220572911576435,117.45383522727269
0.626938775510204,0.5960363675811388,0.32868498985602806,117.45383522727269
0.6385487528344671,0.6002875125950689,0.33261585262731147,117.45383522727269
0.6501587301587302,0.6074628141746474,0.3354191834620296,117.45383522727269
0.6617687074829932,0.61473515528738,0.3368757151048771,117.45383522727269
0.6733786848072563,0.6192240426998826,0.3359025821375131,117.45383522727269
0.6849886621315193,0.6222099486290285,0.3354540119473522,117.45383522727269
0.6965986394557823,0.6239385669659385,0.33524142904609944,117.45383522727269
0.7082086167800453,0.6246743836291234,0.33489922864350746,117.45383522727269
0.7198185941043084,0.625665366097735,0.335587345755474,117.45383522727269
0.7314285714285714,0.6248332737265894,0.3370211205099792,117.45383522727269
0.7430385487528345,0.6225708500090052,0.34038222206336627,117.45383522727269
0.7546485260770975,0.6172384152570006,0.34423335967647684,117.45383522727269
0.7662585034013606,0.6119680720236274,0.3500498601076729,117.45383522727269
0.7778684807256235,0.606927888356387,0.3555771330868632,117.45383522727269
0.7894784580498866,0.6017704346313146,0.3591888658633049,117.45383522727269
0.8010884353741496,0.5996292398510348,0.36175599224260935,117.45383522727269
0.8126984126984127,0.5979877530056547,0.36196317740000455,117.45383522727269
0.8243083900226758,0.5996760259512819,0.3609144703507271,117.45383522727269
0.8359183673469388,0.6053218989013783,0.35747517132101475,117.45383522727269
0.8475283446712019,0.6147878640448041,0.3521156799623824,117.45383522727269
0.8591383219954648,0.6274870096688338,0.3473783291451734,117.45383522727269
0.8707482993197279,0.638608906869103,0.3426488470647889,117.45383522727269
0.8823582766439909,0.647480394334166,0.33944180485563935,117.45383522727269
0.893968253968254,0.6520927491496024,0.33828153483629236,117.45383522727269
0.905578231292517,0.6530034649152512,0.33980290190881307,117.45383522727269
0.9171882086167801,0.6529576161273076,0.3410186519597108,117.45383522727269
0.9287981859410431,0.6515434214916566,0.34265939560154557,117.45383522727269
0.9404081632653061,0.6483626124324294,0.3457622829279524,117.45383522727269
0.9520181405895691,0.6450921539090321,0.3507731439146061,117.45383522727269
0.9636281179138322,0.6430885777788792,0.3550819789906133,117.45383522727269
0.9752380952380952,0.6413667615824129,0.3599300769564914,117.45383522727269
0.9868480725623583,0.6425917926198768,0.3644762801844682,117.45383522727269
0.9984580498866213,0.6450144871031781,0.3670722412521878,117.45383522727269
1.0100680272108844,0.6482702666894222,0.3683987285063257,117.45383522727269
1.0216780045351475,0.6526835378173313,0.3692007651551387,117.45383522727269
1.0332879818594105,0.6564684892326824,0.36832302791029997,117.45383522727269
1.0448979591836736,0.6605332078894968,0.36808021768896554,117.45383522727269
1.0565079365079366,0.6655618209303075,0.36752884982197653,117.45383522727269
1.0681179138321995,0.6696629766993397,0.36516963090571236,117.45383522727269
1.0797278911564625,0.6751471861677512,0.36419224325767735,117.45383522727269
1.0913378684807256,0.6829108789195777,0.3636218516292897,117.45383522727269
1.1029478458049886,0.6894494924430767,0.3618220854208443,117.45383522727269
1.1145578231292517,0.6994546193817022,0.36292926867407904,117.45383522727269
1.1261678004535147,0.7104728315286812,0.36387367269615967,117.45383522727269
1.1377777777777778,0.7206537009098891,0.3647741847712808,117.45383522727269
1.1493877551020408,0.7286645646028165,0.36555957817523704,117.45383522727269
1.1609977324263039,0.7354170178563783,0.3666336766035832,117.45383522727269
1.172607709750567,0.7413898947327627,0.36816889753415616,117.45383522727269
1.18421768707483,0.7471805956862302,0.3682187300899942,117.45383522727269
1.195827664399093,0.7546066174640378,0.36668733752337157,117.45383522727269
1.207437641723356,0.7619148920944602,0.3629713199525332,117.45383522727269
1.2190476190476192,0.7706564521712799,0.3590101706229639,117.45383522727269
1.230657596371882,0.7826188293625619,0.3545736613989907,117.45383522727269
1.242267573696145,0.7988193063009081,0.35016778891213146,117.45383522727269
1.253877551020408,0.8162301377491079,0.3453679495431989,117.45383522727269
1.2654875283446712,0.8299238391943098,0.3408298717566213,117.45383522727269
1.2770975056689342,0.8395649202990868,0.3378564725346155,117.45383522727269
1.2887074829931973,0.8413014756712861,0.33501500229740744,117.45383522727269
1.3003174603174603,0.8360223351957021,0.33286124730600714,117.45383522727269
1.3119274376417234,0.8289286038819562,0.3348748031762457,117.45383522727269
1.3235374149659864,0.8218263716998125,0.3376579168261939,117.45383522727269
1.3351473922902495,0.818594444181671,0.34071326987420314,117.45383522727269
1.3467573696145125,0.820211813909197,0.3427606415863545,117.45383522727269
1.3583673469387756,0.8248526495252162,0.34481583960921963,117.45383522727269
1.3699773242630386,0.8275460778725372,0.34671140724897065,117.45383522727269
1.3815873015873017,0.8277589272803463,0.3481587302606379,117.45383522727269
1.3931972789115645,0.823564582428188,0.3499171443231011,117.45383522727269
1.4048072562358276,0.8169545042630231,0.35194482774307373,117.45383522727269
1.4164172335600906,0.8084352365937998,0.35337583056689587,117.45383522727269
1.4280272108843537,0.7970066527354757,0.35575834592903743,117.45383522727269
1.4396371882086167,0.783825682806151,0.36026638622299734,117.45383522727269
1.4512471655328798,0.7684327064410865,0.36495795158172767,117.45383522727269
1.4628571428571429,0.7536674112596331,0.37017152424462446,117.45383522727269
1.474467120181406,0.7424253405019801,0.37401240411328995,117.45383522727269
1.486077097505669,0.735509199750448,0.37746673382260254,117.45383522727269
1.497687074829932,0.7337885473633458,0.3797035407140507,117.45383522727269
1.509297052154195,0.7356000202526118,0.38091025176579135,117.45383522727269
1.5209070294784581,0.7354315859545446,0.3819631893502258,117.45383522727269
1.5325170068027212,0.7299143536966247,0.38439740961157454,117.45383522727269
1.5441269841269842,0.7181942367974088,0.3890063542949673,117.45383522727269
1.555736961451247,0.7029100055263473,0.3922148085564827,117.45383522727269
1.5673469387755101,0.6886460350832784,0.396780221631671,117.45383522727269
1.5789569160997732,0.6798471013734061,0.4014031820549039,117.45383522727269
1.5905668934240362,0.6791447869988257,0.4068086927147559,117.45383522727269
1.6021768707482993,0.6873605317402112,0.4113709260297255,117.45383522727269
1.6137868480725623,0.7000873581964826,0.4115105620883122,117.45383522727269
1.6253968253968254,0.7154475430881851,0.4120783077211745,117.45383522727269
1.6370068027210884,0.7289492232169686,0.4127323187189715,117.45383522727269
1.6486167800453515,0.7364172626090374,0.4130028860520824,117.45383522727269
1.6602267573696146,0.7410773408370244,0.412895872432641,117.45383522727269
1.6718367346938776,0.7474469706866071,0.41312717284256395,117.45383522727269
1.6834467120181407,0.7569325302353073,0.41096431124517524,117.45383522727269
1.6950566893424037,0.7691880114896454,0.4082705725801847,117.45383522727269
1.7066666666666668,0.782015262887262,0.40664058347992266,117.55889232497151
1.7182766439909296,0.7929653186953839,0.40575973662122483,117.66394942267033
1.7298866213151927,0.8013846095982965,0.4041368683035629,117.76900652036915
1.7414965986394557,0.8090151124403916,0.4004809096080619,117.87406361806796
1.7531065759637188,0.8194599135451752,0.39918903103014436,117.97912071576678
1.7647165532879818,0.8307415345448562,0.39689314533719366,118.0841778134656
1.7763265306122449,0.8414589561859821,0.39347672052053456,118.18923491116442
1.787936507936508,0.8492883764571239,0.39088876725963334,118.29429200886324
1.799546485260771,0.8518975984983556,0.3898065955114474,118.39934910656206
1.811156462585034,0.8512646115006257,0.3885915868466928,118.50440620426087
1.822766439909297,0.8505734340346998,0.3874880629854269,118.60946330195969
1.8343764172335602,0.853408447140249,0.3842769852311832,118.7145203996585
1.8459863945578232,0.8567701381976969,0.37965973643285356,118.8195774973573
1.8575963718820863,0.8622378663906438,0.377987837956306,118.92463459505612
1.8692063492063493,0.8693204198335013,0.3736977696021909,119.02969169275494
1.8808163265306121,0.8752440311896895,0.3671903924950409,119.13474879045374
1.8924263038548752,0.8830525245781695,0.3609485367710054,119.23980588815255
1.9040362811791383,0.8867411496851527,0.3561290327002011,119.34486298585136
1.9156462585034013,0.8855898771744779,0.35124419001763263,119.44992008355018
1.9272562358276644,0.8801649159637264,0.34686182862383197,119.554977181249
1.9388662131519274,0.8717315629667186,0.34324507429249584,119.6600342789478
1.9504761904761905,0.8623409466485917,0.3400923737650696,119.76509137664661
1.9620861678004535,0.8520826658731085,0.33857153964505254,119.87014847434543
1.9736961451247166,0.8410854818096057,0.33690674555002953,119.97520557204425
1.9853061224489796,0.825207490904054,0.3374371999270224,120.08026266974306
1.9969160997732427,0.8090219314476377,0.33877590585023104,120.18531976744187
2.0085260770975055,0.7926095062706378,0.33911428736309707,120.18531976744187
2.020136054421769,0.778368513231491,0.33905995042553916,120.18531976744187
2.0317460317460316,0.7688936785595588,0.3392494658114888,120.29537958407872
2.043356009070295,0.7621247849927671,0.3382034581303295,120.40543940071557
2.0549659863945577,0.7557171084561112,0.33458511806922975,120.51549921735241
2.066575963718821,0.748901375779122,0.3324630887960695,120.62555903398926
2.078185941043084,0.7404236414059773,0.33160214548357264,120.73561885062611
2.089795918367347,0.7331190027762384,0.3310125903546151,120.84567866726296
2.10140589569161,0.7277879776070036,0.3283222617539326,120.95573848389981
2.1130158730158732,0.7218259027127691,0.3263305106963301,121.06579830053666
2.124625850340136,0.718190709226169,0.3263738069778848,121.1758581171735
2.136235827664399,0.7134289723707202,0.32819236101110827,121.28591793381035
2.147845804988662,0.7124113379448117,0.3283294871441474,121.3959777504472
2.159455782312925,0.7137653566486725,0.3254377940739244,121.50603756708406
2.1710657596371883,0.7149604707978082,0.32531501586290973,121.61609738372091
2.182675736961451,0.7154233464554057,0.326530641366897,121.72615720035776
2.1942857142857144,0.7103493400303158,0.3266749085693662,121.83621701699461
2.2058956916099772,0.7044506770843844,0.3270849591629686,121.94627683363146
2.2175056689342405,0.699919314244413,0.3302358274720756,122.05633665026832
2.2291156462585033,0.6957837887512254,0.3323675441974566,122.16639646690517
2.2407256235827666,0.6936083760480114,0.33316130397185745,122.27645628354202
2.2523356009070294,0.6953179059837185,0.33448267062812415,122.38651610017888
2.2639455782312927,0.6964218116942358,0.3331885590789802,122.49657591681573
2.2755555555555556,0.6972099515879335,0.33258910550569476,122.60663573345258
2.2871655328798184,0.6992855610119469,0.3330112785830771,122.71669555008943
2.2987755102040817,0.6985659196122402,0.33543205599508524,122.82675536672627
2.3103854875283445,0.6976635456851379,0.3372207656761033,122.93681518336314
2.3219954648526078,0.6950477672768686,0.3386152743207013,123.04687499999999
2.3336054421768706,0.6904262007777919,0.34020689431350265,123.04687499999999
2.345215419501134,0.6865197505562987,0.34363627263175245,123.04687499999999
2.3568253968253967,0.6826363741204556,0.3457866064054782,123.04687499999999
2.36843537414966,0.6779345481470453,0.3458459656993926,123.04687499999999
2.380045351473923,0.6748719633247561,0.34741138638728963,123.04687499999999
2.391655328798186,0.6716739910893401,0.34983606237825937,123.04687499999999
2.403265306122449,0.6718237996184983,0.3513031118808829,123.04687499999999
2.414875283446712,0.6776419018971968,0.35210075033945054,123.04687499999999
2.426485260770975,0.6833170845307359,0.3504856454149933,123.04687499999999
2.4380952380952383,0.6889572468634565,0.3492676993423018,123.04687499999999
2.449705215419501,0.6898500573136116,0.3489290270127468,123.04687499999999
2.461315192743764,0.686042786299631,0.34849142315396037,123.04687499999999
2.4729251700680273,0.6800407202169637,0.3485500064617572,123.04687499999999
2.48453514739229,0.6724543987589203,0.34938373760252456,123.04687499999999
2.4961451247165534,0.6648504659496534,0.3510048593284402,123.04687499999999
2.507755102040816,0.6594647248735116,0.35276340339714196,123.04687499999999
2.5193650793650795,0.6556234407477688,0.3525631922519212,123.04687499999999
2.5309750566893423,0.655539733217121,0.35250089746560026,123.04687499999999
2.5425850340136056,0.657186636715607,0.3523691464814531,123.04687499999999
2.5541950113378684,0.6588236321724689,0.3521017695090444,123.04687499999999
2.5658049886621317,0.6634688941193403,0.35289823951668137,123.04687499999999
2.5774149659863945,0.670431630617207,0.351986572530619,123.04687499999999
2.589024943310658,0.6784538721731083,0.34934298108424156,123.04687499999999
2.6006349206349206,0.6861595069816143,0.3455823962922448,123.04687499999999
2.6122448979591835,0.6941338179042502,0.3452871605459797,123.04687499999999
2.6238548752834467,0.7018173499730146,0.34466843488285204,123.04687499999999
2.6354648526077096,0.7105735673010988,0.3412859266376189,123.04687499999999
2.647074829931973,0.7198513013395546,0.33793366442160644,123.04687499999999
2.6586848072562357,0.7260740839885678,0.3361311243220317,123.04687499999999
2.670294784580499,0.7285738428919238,0.33564422916852266,123.04687499999999
2.681904761904762,0.729271053854014,0.3369982315224818,123.04687499999999
2.693514739229025,0.7283017211310232,0.33609777819587017,123.04687499999999
2.705124716553288,0.7266375171123862,0.3360364109620044,123.04687499999999
2.716734693877551,0.7225480909996345,0.33532133928860175,123.04687499999999
2.728344671201814,0.7165315315146399,0.3358372333506255,123.04687499999999
2.7399546485260773,0.7087188985309483,0.33693827420182726,123.04687499999999
2.75156462585034,0.7003978278373558,0.33835498218747023,123.04687499999999
2.7631746031746034,0.6946623150612621,0.34179557347294504,123.04687499999999
2.7747845804988662,0.6924016213956934,0.3444014461663891,123.04687499999999
2.786394557823129,0.6919417118857707,0.34385085709264185,123.04687499999999
2.7980045351473923,0.6936703663658287,0.34223281376059517,123.04687499999999
2.809614512471655,0.6950304089276808,0.3419487480438655,123.04687499999999
2.8212244897959184,0.6974767699442587,0.342313229054936,123.04687499999999
2.8328344671201813,0.7011259893818058,0.3401484414277498,123.04687499999999
2.8444444444444446,0.7058262901143725,0.3374893632819766,123.04687499999999
2.8560544217687074,0.7101764312105323,0.33546026318860184,123.04687499999999
2.8676643990929707,0.7121461026583668,0.3348168410919056,123.04687499999999
2.8792743764172335,0.712154244504828,0.3354340390111037,123.04687499999999
2.8908843537414968,0.7116045144531681,0.3358989124596896,123.04687499999999
2.9024943310657596,0.7125014476317325,0.33595693879810873,123.04687499999999
2.914104308390023,0.7126591666912049,0.33468002674902725,123.04687499999999
2.9257142857142857,0.7126508537671769,0.33339505091465677,123.04687499999999
2.9373242630385485,0.712059474761365,0.3338512245346351,123.04687499999999
2.948934240362812,0.7090854864328692,0.33414319916142665,123.04687499999999
2.9605442176870747,0.7069563128635967,0.334806060590632,123.04687499999999
2.972154195011338,0.7058583177625406,0.3356267955891785,123.04687499999999
2.9837641723356008,0.7019787965958119,0.33472971002390467,123.04687499999999
2.995374149659864,0.6994918034523111,0.3362169855040622,123.04687499999999
3.006984126984127,0.6939709135078189,0.33737813346020545,123.04687499999999
3.01859410430839,0.6876215286401733,0.3394491222677274,123.04687499999999
3.030204081632653,0.6829063754833433,0.3418295964856032,123.04687499999999
3.0418140589569163,0.6786024181016314,0.3414179045817783,123.04687499999999
3.053424036281179,0.6772489198591011,0.34087707223181724,123.04687499999999
3.0650340136054424,0.6759124064865631,0.33996605090546556,123.04687499999999
3.076643990929705,0.6727303083217258,0.338647718560405,123.04687499999999
3.0882539682539685,0.6723396755882468,0.33969024352277655,123.04687499999999
3.0998639455782313,0.6718597837365954,0.3401543915916839,123.04687499999999
3.111473922902494,0.672763425083419,0.3406009180449026,123.04687499999999
3.1230839002267574,0.6711216683692008,0.33976327651689325,123.04687499999999
3.1346938775510202,0.6651643595514093,0.33983353774145975,123.04687499999999
